c0000	Столица: Станция Плаза
c0010	Центральная Станция Хеймдала
c0020	Железнодорожная Полиция: Командный Пост
c0100	Столица: Улица Ванкувера
c0110	Бутик Ля Сэдж: Основная Лавка
c0120	Универмаг: Плаза Бифрост
c0130	Оруженйная Ватсона и Броня
c0140	Здание Имперских Хроник
c0150	Фабрика Сфер Лумиэри
c0200	Столица: Садовая Улица
c0210	Дом Оперы Хеймдала
c0220	Ювелирный Сан Кьюри
c0230	Отель: Дер Химмел
c0300	Столица: Улица Альто
c0310	Улица Альто: Дом Крейгов
c0330	Бывшее Здание Гильдии
c0350	Концертное Кафе: Этиоли
c0360	Улица Альто: Дом
c0400	Столица: Район Ост
c0410	Район Ост: Дом Регнитсов
c0430	Паб Гамги
c0440	Товары Эмруда
c0450	Район Ост: Дом 1
c0460	Район Ост: Дом 2
c0500	Столица: Порт Хеймдала 
c0600	Столица: Район Санкт
c0610	Св.Астария: Розовый Сад
c0620	Св.Астария: Комната Причастия
c0700	Столица: Родной Парк
c0710	Кристальный Сад
c0800	Столица: Площадь Дрейкуза 
c0910	Дворец: Кабинет Канцлера 
c0920
c0930	Вольфрамовый Дворец: Зал
c0940	Вольфрамовый Дворец: Комната Встреч
c0950	Вольфрамовый Дворец: Приемная
c0960	Вольфрамовый Дворец: Терраса
e2000	Бесстрашный: Палуба
e5010	Сферический Поезд
e5011	Сферический Поезд
e5012	Сферический Поезд
e5410	Сферический Трамвай
e7010	Бесстрашный: Внутри
m0010	Парк Лунной Природы 1
m0020	Парк Лунной Природы 2
m0030	Парк Лунной Природы 3
m0040	Парк Природы: Глубины
m0500	Подземный Водосток 1
m0510	Подземный Водосток 2
m0520	Подземный Водосток 3
m0530	Пост Провинциальной Армии: Подземелье
m1000	Замок Лоэнгрин: Снаружи
m1001	Обезро Эбель
m1010	Замок Лоэнгрин: Главный Вход
m1020	Замок Лоэнгрин: Левое Крыло
m1030	Замок Лоэнгрин: Правое Крыло
m1040	Замок Лоэнгрин: Внешний Коридор 1
m1050	Замок Лоэнгрин: Внешний Коридор 2
m1060	Замок Лоэнгрин: Лестница
m1070	Замок Лоэнгрин: Крепость
m1200	Железная Шахта Саскен: Снаружи
m1210	Железная Шахта Саскен: Зона Приема
m1220	Железная Шахта Саскен: Зона Приема
m1230	Железная Шахта Саскен: Глубины 3
m1240	Железная Шахта Саскен: Пути
m1250	--------------------
m1260	Центральная Комната Управления
m1500	Высокогорья: Дрвений Карьер
m1510	--------------------
m1520	--------------------
m1540	Дрвений Карьер: Внутри
m2000	Подземные Проходы Хеймдала 1
m2001	Подземные Проходы Хеймдала 2
m2002
m2005	Подземные Проходы Хеймдала 3
m2020	Подземные Водостоки Хеймдала 1
m2021	Подземные Водостоки Хеймдала 2
m2022	Подземные Водостоки Хеймдала 3
m2100	--------------------
m2110	--------------------
m2120	--------------------
m2130	Подземные Водостоки Хеймдала: Глубины
m2500	Старый Корпус: Подземелье 1
m2501	Старый Корпус: Подземелье 2
m2502	Старый Корпус: Подземелье 3
m2503	Старый Корпус: Лестница
m2504	Старый Корпус: Лифт
m2505	Старый Корпус: Лестница
m2510	Старый Корпус: Первый Этаж
m2511	Этаж 1: Основная Область
m2512	Этаж 1: Глубины
m2520	Старый Корпус: Второй Этаж
m2521	Этаж 2: Основная Область
m2522	Этаж 2: Глубины
m2530	Старый Корпус: Третий Этаж
m2531	Этаж 3: Основная Область
m2532	Этаж 3: Вторая Область
m2533	Этаж 3: Глубины
m2540	Старый Корпус: Четвертый Этаж
m2541	Этаж 4: Область 1
m2542	Этаж 4: Область 2
m2543	Этаж 4: Глубины
m2550	Старый Корпус: Пятый Этаж
m2551	Этаж 5: Область 1
m2552	Этаж 5: Область 2
m2553	Этаж 5: Глубины
m2560	Старый Корпус: Шестой Этаж
m2561	Этаж 6: Область 1
m2562	Этаж 6: Область 2
m2563	Этаж 6: Глубины
m3000	Старый Корпус: Седьмой Этаж
m3001	Мир Великой Тени 1
m3002	Мир Великой Тени 2
m3003	Мир Великой Тени 3
m3004	Мир Великой Тени 1
m3005
m3006
m3007	Потустороннее Поле Битвы
m3008	7 Этаж: Глубины
r0000
r0000	Западное Шоссе Келдика 1
r0010	Западное Шоссе Келдика 2
r0020	Восточное Шоссе Келдика 1
r0030	Восточное Шоссе Келдика 2
r0100	Северное Шоссе Кройзена
r0130
r0200	Тропинка при Каньоне Аурокс 1
r0210	Тропинка при Каньоне Аурокс 2
r0220	Тропинка при Каньоне Аурокс 3
r0300	Шоссе Эбеля 1
r0310	Шоссе Эбеля 2
r0400	Дорога Спина
r0410	Шоссе Нортиа
r0420	Горная Тропинка Саскен 1
r0430	Горная Тропинка Саскен 2
r0500	Ямир, Тропинка при Каньйоне 1
r0510	Ямир, Тропинка при Каньйоне 1
r0520	Тропинка при Каньйоне: Конец
r0600	Западное Шоссе Тристы
r0610	Восточное Шоссе Тристы
r0800	Северные Высокогорья: Юг
r0810	Северные Высокогорья: Север
t0000	Военная Академия Торос
t0010	Главное Здание 1 Эт
t0020	Главное Здание 2 Эт
t0030	Врата Авалона
t0031	Стелла Гратен
t0032	Восточная Чайная
t0050	Спортзал
t0060	Академия: Библиотека
t0070	Академия: Актовый Зал
t0080	Здания Студсовета
t0090	Академия: Клуб Инженеров
t0200	Старый Корпус
t0201	Old Schoolhouse
t0210	Старый Корпус: 1 Эт
t1000	Триста
t1010	Общежитие 7го Класса
t1020	Универмаг Брендона
t1030	Книжный Кирши
t1040	Бутик: Ля Сэдж
t1050	Кафи Кирши и Гостиница
t1060	Ломбард Мича
t1070	Триста: Дом
t1080	Триста: Дом
t1090	Станция Триста
t1110	Храм Тристы
t1120	Радио Станция Триста
t1150	Общежитие Верхнего Класса
t1160	Общежитие Нижнего Класса
t1500	Келдик, Торговый Город
t1510	Гостиница Везербрук
t1530	Келдик: Дом Управляющего
t1540	Келдик: Дом
t1550	Оружейная Одвина и Фабрика Сфер
t1560	Часовня Келдика
t1570	Станция Келдик
t1600	Восточное Шоссе: Дом Фермера
t1610	Западное Шоссе: Дом Фермера
t2000	Берейхард: Улица Станции
t2010	Станция Берейхард
t2020	Галерея Кристи
t2100	Центральная Плаза Берейхарда
t2110	Отель Эсмиральда
t2120	Ресторан Сорсиэри
t2130	Собор Берейхарда
t2200	Берейхард: Район Дворян
t2210	Берейхард: Резиденция 1
t2220	Берейхард: Резиденция 2
